StockInvestedin|Sector|SectorTotal|Value(Mn)|%ofTotalHoldings|1MChange|1YHighestHolding|1YLowestHolding|Quantity|1MChangeinQty|M-Cap|GroupName|funaname|date
HindustanUnileverLtd.|Diversified|3.22|8.9|3.22|-0.09%|3.31%(Apr2020)|0%(Jun2019)|4.30k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
J.K.CementLtd.|Cement|3.18|8.7|3.18|0.24%|3.18%(May2020)|2.28%(Jun2019)|7.48k|0.00|SmallCap|19.61|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
Colgate-Palmolive(India)Limited|Personalcare|4.43|8.6|3.12|-0.03%|3.15%(Apr2020)|2.11%(Jun2019)|6.16k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
StateBankOfIndia|Banks|25.84|8.1|2.93|-0.40%|5.07%(Nov2019)|2.93%(May2020)|49.90k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
PetronetLNGLtd.|Lpg/cng/png/lngsupplier|2.74|7.5|2.74|0.20%|2.74%(May2020)|0%(Jun2019)|29.80k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|2.65|7.3|2.65|0.12%|2.65%(May2020)|0%(Jun2019)|5.60k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
NationalThermalPowerCorporationLtd.|Power|4.42|6.6|2.40|0.15%|2.75%(Jul2019)|0%(Jun2019)|67.40k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
CoalIndiaLtd.|Industrialminerals|2.33|6.4|2.33|-0.03%|2.99%(Jul2019)|2.3%(Feb2020)|45.35k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
EngineersIndiaLtd.|Engineering,designing,construction|4.43|6.1|2.22|-0.05%|2.29%(Mar2020)|0%(Jun2019)|96.20k|0.00|SmallCap|19.61|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|4.43|6.1|2.21|0.16%|3.07%(Jun2019)|2.05%(Apr2020)|6.50k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
SheelaFoamLtd.|Houseware|2.21|6.1|2.21|-0.01%|2.22%(Apr2020)|1.61%(Dec2019)|4.32k|0.00|SmallCap|19.61|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
#RelaxoFootwearsLtd.|Leatherandleatherproducts|2.07|5.7|2.07|2.07%|2.07%(May2020)|0%(Jun2019)|8.40k|8.40k|MidCap|6.82|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
TorrentPowerLtd.|Power|4.42|5.5|2.02|0.01%|2.02%(May2020)|0%(Jun2019)|17.40k|0.00|MidCap|6.82|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
ITCLimited|Cigarettes|2.01|5.5|2.01|0.22%|3.83%(Jul2019)|1.66%(Feb2020)|28.00k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
#AjantaPharmaLimited|Pharmaceuticals|9.36|5.5|2.00|2.00%|2%(May2020)|0%(Jun2019)|3.60k|3.60k|SmallCap|19.61|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
TitanCompanyLtd.|Gems,jewelleryandwatches|1.98|5.4|1.98|-0.09%|2.8%(Jun2019)|0%(Jun2019)|6.10k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
TataConsultancyServicesLtd.|Computers-software|3.15|5.3|1.94|0.03%|1.96%(Mar2020)|0%(Jun2019)|2.70k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
NestleIndiaLtd.|Consumerfood|1.86|5.1|1.86|0.03%|1.88%(Mar2020)|1.05%(Jun2019)|291.00|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
DixonTechnologies(India)Ltd.|Consumerelctronics|1.78|4.9|1.78|0.18%|1.78%(May2020)|0%(Jun2019)|1.00k|0.00|SmallCap|19.61|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
KotakMahindraBankLtd.|Banks|25.84|4.8|1.76|-0.12%|2.03%(Mar2020)|1.76%(May2020)|3.95k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
BharatPetroleumCorporationLtd.|Refineries/marketing|6.69|4.4|1.60|-0.06%|2.04%(Oct2019)|0%(Jun2019)|12.80k|0.00|LargeCap|59.51|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
CanFinHomesLtd.|Housingfinance|1.5|4.1|1.50|-0.17%|2.24%(Feb2020)|0%(Jun2019)|14.90k|0.00|SmallCap|19.61|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
FederalBankLtd.|Banks|25.84|3.9|1.42|-0.07%|2.43%(Sep2019)|0%(Jun2019)|87.00k|0.00|MidCap|6.82|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
CSBBankLtd.|Banks|25.84|3.8|1.38|0.08%|1.96%(Dec2019)|0%(Jun2019)|30.75k|0.00|Other|10.49|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
EmamiLtd.|Personalcare|4.43|3.6|1.31|0.05%|1.91%(Jul2019)|1.25%(Mar2020)|18.50k|0.00|MidCap|6.82|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
NewgenSoftwareTechnologiesLtd.|Computers-software|3.15|3.3|1.21|0.07%|2.31%(Jul2019)|1.01%(Mar2020)|24.06k|0.00|SmallCap|19.61|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
NrbBearingsLtd.|Bearings|1|2.7|1.00|-0.03%|1.37%(Oct2019)|0%(Jun2019)|41.40k|0.00|SmallCap|19.61|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|6.69|0.1|0.05|0.05%|0.05%(May2020)|0%(Jun2019)|630.00|630.00|Other|10.49|sbi-equity-opportunities-fund-series-i-regular-plan|29-06-2020
HDFCBankLtd.|Banks|21.31|6661.6|8.31|-1.37%|9.68%(Apr2020)|7.97%(Jan2020)|70.00L|-7.00L|Other|16.21|sbi-focused-equity-fund|29-06-2020
StateBankOfIndia|Banks|21.31|6452|8.05|-1.51%|9.56%(Apr2020)|4.26%(Sep2019)|4.00Cr|0.00|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
AlphabetInc|Foreignequity|7.9|6329|7.90|0.43%|7.9%(May2020)|3.45%(Feb2020)|59.00k|0.00|Other|16.21|sbi-focused-equity-fund|29-06-2020
Procter&GambleHygiene&HealthCareLtd.|Personalcare|6.95|5306.3|6.62|-0.49%|7.86%(Mar2020)|6.12%(Dec2019)|5.36L|0.00|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
BhartiAirtelLtd.|Telecom-services|6.21|4973.4|6.21|0.40%|7.14%(Jan2020)|3.2%(Jun2019)|90.00L|0.00|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
DivisLaboratoriesLtd.|Pharmaceuticals|5.97|4780.2|5.97|0.11%|5.97%(May2020)|3.76%(Jun2019)|20.00L|0.00|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
BajajFinanceLtd.|Nbfc|9.4|4688.8|5.85|-1.13%|7.06%(Nov2019)|4.16%(Jun2019)|24.00L|0.00|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
AdaniPortsAndSpecialEconomicZoneLtd.|Port|4.04|3238|4.04|0.40%|4.04%(May2020)|0%(Jun2019)|1.00Cr|0.00|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
MuthootFinancePvt.Ltd.|Nbfc|9.4|2846.7|3.55|-0.02%|3.57%(Apr2020)|0%(Jun2019)|33.00L|0.00|MidCap|20.55|sbi-focused-equity-fund|29-06-2020
RelaxoFootwearsLtd.|Leatherandleatherproducts|3.38|2706.2|3.38|0.19%|3.83%(Jan2020)|3.19%(Apr2020)|40.00L|0.00|MidCap|20.55|sbi-focused-equity-fund|29-06-2020
AxisBankLtd.|Banks|21.31|2694.7|3.36|-0.55%|7.09%(Oct2019)|0%(Jun2019)|70.00L|0.00|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
PageIndustriesLtd.|Fabricsandgarments|3.3|2641.3|3.30|0.17%|3.3%(May2020)|0%(Jun2019)|1.40L|2.94k|MidCap|20.55|sbi-focused-equity-fund|29-06-2020
TorrentPowerLtd.|Power|3.14|2515.8|3.14|-0.13%|4.29%(Jul2019)|0%(Jun2019)|79.00L|0.00|MidCap|20.55|sbi-focused-equity-fund|29-06-2020
HatsunAgroProductsLtd.|Consumerfood|2.9|2326.3|2.90|0.07%|3.76%(Dec2019)|2.37%(Oct2019)|44.49L|0.00|MidCap|20.55|sbi-focused-equity-fund|29-06-2020
AvenueSupermartsLtd.|Retailing|2.18|1747.4|2.18|-0.12%|2.4%(Mar2020)|0%(Jun2019)|7.70L|0.00|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
IndianHotelsCompanyLimited|Hotels/resorts|2.17|1738.8|2.17|0.47%|2.17%(May2020)|0%(Jun2019)|2.30Cr|60.48L|MidCap|20.55|sbi-focused-equity-fund|29-06-2020
FineOrganicIndustriesLtd.|Chemicals-speciality|1.86|1493|1.86|-0.09%|2.39%(Oct2019)|1.86%(May2020)|7.70L|0.00|SmallCap|9.65|sbi-focused-equity-fund|29-06-2020
CromptonGreavesConsumerElectricalsLtd.|Homeappliances|1.78|1425.3|1.78|0.01%|3.33%(Jan2020)|0%(Jun2019)|63.53L|0.00|MidCap|20.55|sbi-focused-equity-fund|29-06-2020
#BandhanBankLtd.|Banks|21.31|1271.7|1.59|1.59%|1.59%(May2020)|0%(Jun2019)|58.29L|58.29L|LargeCap|43.87|sbi-focused-equity-fund|29-06-2020
BlueStarLtd.|Airconditioner|1.41|1128.7|1.41|-0.13%|2.71%(Jun2019)|1.41%(May2020)|23.00L|0.00|SmallCap|9.65|sbi-focused-equity-fund|29-06-2020
TubeInvestmentsOfIndiaLtd.|Autoancillaries|1.38|1102.5|1.38|-0.03%|2.16%(Nov2019)|1.17%(Mar2020)|30.00L|0.00|SmallCap|9.65|sbi-focused-equity-fund|29-06-2020
SheelaFoamLtd.|Houseware|1.23|982.5|1.23|-0.06%|1.92%(Jun2019)|1.23%(May2020)|7.00L|0.00|SmallCap|9.65|sbi-focused-equity-fund|29-06-2020
TechnoElectric&EngineeringCo.Ltd.|Engineering,designing,construction|1.21|967.4|1.21|-0.15%|2.2%(Nov2019)|0%(Jun2019)|53.46L|0.00|SmallCap|9.65|sbi-focused-equity-fund|29-06-2020
EmamiLtd.|Personalcare|6.95|265.2|0.33|-0.23%|4.46%(Jul2019)|0.33%(May2020)|13.61L|-9.38L|MidCap|20.55|sbi-focused-equity-fund|29-06-2020
CiplaLtd.|Pharmaceuticals|85.39|1166.7|10.25|0.63%|10.25%(May2020)|5.89%(Jul2019)|18.00L|0.00|LargeCap|49.57|sbi-healthcare-opportunities-fund|29-06-2020
SunPharmaceuticalIndustriesLtd.|Pharmaceuticals|85.39|1138.2|10.00|1.16%|14.48%(Jul2019)|4.95%(Mar2020)|24.00L|3.00L|LargeCap|49.57|sbi-healthcare-opportunities-fund|29-06-2020
AurobindoPharmaLtd.|Pharmaceuticals|85.39|894.8|7.86|1.62%|9.53%(Jun2019)|0%(Jun2019)|12.00L|1.00L|LargeCap|49.57|sbi-healthcare-opportunities-fund|29-06-2020
LupinLtd.|Pharmaceuticals|85.39|869.8|7.64|0.07%|10.13%(Jun2019)|5.53%(Mar2020)|10.00L|0.00|LargeCap|49.57|sbi-healthcare-opportunities-fund|29-06-2020
DivisLaboratoriesLtd.|Pharmaceuticals|85.39|860.4|7.56|-0.05%|10.72%(Jun2019)|7.56%(May2020)|3.60L|0.00|LargeCap|49.57|sbi-healthcare-opportunities-fund|29-06-2020
Dr.ReddysLaboratoriesLtd.|Pharmaceuticals|85.39|712.5|6.26|1.80%|9.42%(Jun2019)|0%(Jun2019)|1.75L|50.00k|LargeCap|49.57|sbi-healthcare-opportunities-fund|29-06-2020
AlembicPharmaceuticalsLtd.|Pharmaceuticals|85.39|522.7|4.59|0.43%|4.96%(Feb2020)|2.56%(Jun2019)|6.00L|-0.17L|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
AbbottIndiaLtd.|Pharmaceuticals|85.39|501.7|4.41|-0.73%|7.11%(Mar2020)|3.78%(Jul2019)|30.00k|-2.00k|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
StridesPharmaScienceLtd.|Pharmaceuticals|85.39|398.5|3.50|-0.51%|7.59%(Jun2019)|3.5%(May2020)|10.00L|0.00|SmallCap|19.3|sbi-healthcare-opportunities-fund|29-06-2020
BioconLtd.|Pharmaceuticals|85.39|319.2|2.80|-0.09%|3.59%(Jun2019)|0%(Jun2019)|9.00L|0.00|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
AjantaPharmaLimited|Pharmaceuticals|85.39|304.8|2.68|0.07%|4.64%(Jan2020)|0%(Jun2019)|2.00L|6.32k|SmallCap|19.3|sbi-healthcare-opportunities-fund|29-06-2020
NarayanaHrudayalayaLtd.|Hospital|7.91|300.1|2.64|-0.15%|3.75%(Jan2020)|0%(Jun2019)|11.00L|0.00|SmallCap|19.3|sbi-healthcare-opportunities-fund|29-06-2020
PfizerLtd.|Pharmaceuticals|85.39|282.7|2.48|-0.63%|4.24%(Mar2020)|0%(Jun2019)|70.00k|0.00|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
SanofiIndiaLtd.|Pharmaceuticals|85.39|278.4|2.44|-0.10%|3.83%(Feb2020)|2.44%(May2020)|36.00k|0.00|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
ApolloHospitalsEnterprisesLtd.|Hospital|7.91|271.4|2.38|-0.15%|2.53%(Apr2020)|0%(Jun2019)|2.00L|0.00|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
SequentScientificLtd.|Pharmaceuticals|85.39|254.4|2.23|0.13%|2.85%(Jan2020)|2.1%(Apr2020)|30.00L|0.00|SmallCap|19.3|sbi-healthcare-opportunities-fund|29-06-2020
NATCOPharmaLtd.|Pharmaceuticals|85.39|231.9|2.04|-0.17%|2.52%(Feb2020)|0%(Jun2019)|4.00L|0.00|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
IpcaLaboratoriesLtd.|Pharmaceuticals|85.39|209.2|1.84|-0.36%|3.43%(Feb2020)|0%(Jun2019)|1.40L|-0.10L|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
GlaxoSmithKlinePharmaceuticalsLtd.|Pharmaceuticals|85.39|205.4|1.80|-0.16%|2.61%(Jan2020)|0%(Jun2019)|1.50L|0.00|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
AlembicLimited|Pharmaceuticals|85.39|204.8|1.80|-0.03%|2.57%(Dec2019)|1.56%(Aug2019)|40.00L|0.00|SmallCap|19.3|sbi-healthcare-opportunities-fund|29-06-2020
GuficBiosciencesLtd.|Pharmaceuticals|85.39|198.9|1.75|-0.49%|3.18%(Jun2019)|1.75%(May2020)|37.50L|0.00|SmallCap|19.3|sbi-healthcare-opportunities-fund|29-06-2020
AlkemLaboratoriesLtd.|Hospital|7.91|169.7|1.49|-0.40%|6.48%(Sep2019)|1.49%(May2020)|75.00k|-5.00k|MidCap|26.27|sbi-healthcare-opportunities-fund|29-06-2020
SolaraActivePharmaSciencesLtd.|Pharmaceuticals|85.39|165.7|1.46|-0.24%|2.09%(Feb2020)|1.14%(Jul2019)|3.21L|0.00|SmallCap|19.3|sbi-healthcare-opportunities-fund|29-06-2020
AsterDMHealthcareLtd.|Hospital|7.91|159.3|1.40|-0.19%|3.47%(Dec2019)|1.4%(May2020)|17.75L|0.00|SmallCap|19.3|sbi-healthcare-opportunities-fund|29-06-2020
MetropolisHealthcareLtd.|Healthcareserviceproviders|3.24|158.9|1.40|0.09%|1.4%(May2020)|0%(Jun2019)|1.15L|0.00|Other|1.91|sbi-healthcare-opportunities-fund|29-06-2020
ShrenoLtd.|Engineering|0.51|58.2|0.51|-0.04%|0.68%(Mar2020)|0%(Jun2019)|40.00L|0.00|Other|1.91|sbi-healthcare-opportunities-fund|29-06-2020
HDFCBankLtd.|Banks|19.07|5881.7|6.68|-0.54%|7.22%(Apr2020)|5.84%(Jul2019)|61.81L|-1.90L|Other|10.09|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|7.28|4827.7|5.48|0.01%|5.59%(Mar2020)|3.07%(Jun2019)|32.97L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
ICICIBankLtd.|Banks|19.07|3638|4.13|-0.58%|6.27%(Jul2019)|4.13%(May2020)|1.10Cr|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
AxisBankLtd.|Banks|19.07|3299.3|3.75|-0.57%|4.54%(Feb2020)|3.23%(Nov2019)|85.71L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
InfosysLtd.|Computers-software|8.6|3094.1|3.51|0.58%|3.51%(May2020)|2.07%(Aug2019)|44.78L|8.55L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|4.82|2653.5|3.01|0.12%|3.55%(Jan2020)|2.13%(Jul2019)|28.46L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
MaxFinancialServicesLtd.|Nbfc|5.6|2533.3|2.88|0.24%|2.88%(May2020)|2.03%(Jun2019)|52.74L|3.16L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
StateBankOfIndia|Banks|19.07|2453.4|2.79|-0.24%|4.78%(Nov2019)|2.79%(May2020)|1.52Cr|11.90L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
TataConsultancyServicesLtd.|Computers-software|8.6|2323.4|2.64|-0.05%|2.9%(Mar2020)|1.81%(Aug2019)|11.78L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
MindtreeLtd.|Computers-software|8.6|2158.8|2.45|0.04%|2.45%(May2020)|0%(Jun2019)|24.13L|90.48k|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
TataConsumerProductsLtd.|Tea&coffee|2.31|2036.7|2.31|-0.44%|3.31%(Jun2019)|1.34%(Feb2020)|55.51L|-0.14Cr|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|2.27|2001.1|2.27|0.11%|2.32%(Feb2020)|1.63%(Jan2020)|3.57L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
GujaratStatePetronetLtd.|Gastransmission/marketing|2.15|1895.7|2.15|-0.10%|2.48%(Jan2020)|1.9%(Jun2019)|95.98L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
SunPharmaceuticalIndustriesLtd.|Pharmaceuticals|8.7|1876.2|2.13|0.26%|2.13%(May2020)|1.15%(Jan2020)|39.56L|3.89L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
NationalThermalPowerCorporationLtd.|Power|2.12|1864.9|2.12|0.23%|2.12%(May2020)|1.4%(Jan2020)|1.91Cr|14.80L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
BalkrishnaIndustriesLtd.|Tyres&allied|2.83|1846.6|2.10|0.29%|2.27%(Dec2019)|1.59%(Mar2020)|17.12L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
ITCLimited|Cigarettes|2.03|1786.3|2.03|0.16%|2.26%(Mar2020)|0%(Jun2019)|90.51L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
TataChemicalsLtd.|Chemicals-inorganic|1.99|1750.7|1.99|0.16%|2.07%(Feb2020)|0.92%(Oct2019)|57.13L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
BharatElectronicsLtd.|Industrialelectronics|1.97|1730.8|1.97|0.10%|2.14%(Mar2020)|0.16%(Nov2019)|2.50Cr|21.77L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
HDFCStandardLifeInsuranceCompanyLtd.|Insurance|1.96|1722.2|1.96|0.09%|1.96%(Mar2020)|0.25%(Oct2019)|32.92L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
AjantaPharmaLimited|Pharmaceuticals|8.7|1696.4|1.93|-0.03%|2.34%(Mar2020)|1.45%(Jun2019)|11.13L|-0.50L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
VoltasLimited|Engineering,designing,construction|4.82|1591.8|1.81|-0.09%|3.31%(Aug2019)|1.81%(May2020)|33.15L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
DaburIndiaLtd.|Personalcare|3.98|1590.4|1.81|0.93%|2.1%(Jul2019)|0.88%(Apr2020)|34.10L|18.28L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
HindustanPetroleumCorporationLtd.|Refineries/marketing|7.28|1539.4|1.75|-0.22%|2.03%(Mar2020)|1.39%(Jun2019)|79.12L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
HindustanUnileverLtd.|Diversified|1.73|1519.8|1.73|1.33%|1.73%(May2020)|0%(Jun2019)|7.39L|5.81L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
HavellsIndiaLtd.|Consumerelctronics|1.7|1499.2|1.70|0.14%|1.7%(May2020)|0.24%(Sep2019)|30.21L|5.65L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
KansaiNerolacPaintsLtd.|Paints|1.7|1495.3|1.70|-0.19%|1.89%(Apr2020)|0.94%(Jun2019)|41.13L|70.65k|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
SyngeneInternationalLtd.|Pharmaceuticals|8.7|1460.7|1.66|-0.06%|1.74%(Dec2019)|1.5%(Nov2019)|40.91L|-6.29L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
IndianEnergyExchangeLtd.|Capitalmarkets|1.65|1450.5|1.65|0.44%|1.65%(May2020)|0.81%(Jun2019)|88.55L|17.48L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
PowerFinanceCorporationLtd.|Financialinstitution|1.62|1422.8|1.62|-0.21%|2.1%(Mar2020)|0.98%(Sep2019)|1.89Cr|20.20L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
VinatiOrganicsLtd.|Chemicals-speciality|2.79|1367.6|1.55|0.07%|2.47%(Aug2019)|1.07%(Feb2020)|13.45L|11.59k|Other|10.09|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
IndusindBankLtd.|Banks|19.07|1317|1.50|-0.28%|3.19%(Jul2019)|0%(Jun2019)|33.45L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
SKFIndiaLtd.|Bearings|1.49|1315.3|1.49|0.54%|1.49%(May2020)|0%(Jun2019)|9.11L|3.43L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
CholamandalamInvestment&FinanceCo.Ltd.|Nbfc|5.6|1271.9|1.44|-0.18%|1.62%(Apr2020)|0%(Jun2019)|89.76L|0.00|Other|10.09|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
#BhartiAirtelLtd.|Telecom-services|1.43|1256.6|1.43|1.43%|1.43%(May2020)|0%(Jun2019)|22.74L|22.74L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
EmamiLtd.|Personalcare|3.98|1219.7|1.38|-0.03%|1.42%(Apr2020)|0%(Jun2019)|62.60L|-1.80L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
NATCOPharmaLtd.|Pharmaceuticals|8.7|1177.9|1.34|-0.07%|1.47%(Aug2019)|1.12%(Feb2020)|20.32L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
SRFLtd.|Chemicals-speciality|2.79|1088.7|1.24|-0.31%|1.55%(Apr2020)|0.7%(Jun2019)|3.12L|-0.56L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
TVSMotorCompanyLtd.|Motorcycles/scooters|1.23|1084.9|1.23|0.27%|1.64%(Nov2019)|0.86%(Aug2019)|32.30L|6.35L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
J.K.CementLtd.|Cement|1.2|1056.6|1.20|0.05%|1.28%(Feb2020)|0.95%(Sep2019)|9.04L|0.00|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
LupinLtd.|Pharmaceuticals|8.7|1024|1.16|-0.54%|1.7%(Apr2020)|0%(Jun2019)|11.77L|-6.24L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
DR.LALPATHLABSLtd.|Healthcareserviceproviders|0.93|818.3|0.93|-0.13%|1.85%(Jan2020)|0.93%(May2020)|5.34L|-0.58L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
MuthootFinancePvt.Ltd.|Nbfc|5.6|802.4|0.91|-0.24%|2.2%(Jul2019)|0.91%(May2020)|9.30L|-2.45L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
JyothyLaboratoriesLtd.|Personalcare|3.98|693.3|0.79|-0.07%|1.02%(Jan2020)|0.79%(May2020)|65.44L|50.00k|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
CeatLtd.|Tyres&allied|2.83|643.1|0.73|0.09%|0.73%(May2020)|0.12%(Jul2019)|7.94L|89.85k|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
AshokLeylandLtd.|Commercialvehicles|0.72|631.7|0.72|0.02%|0.76%(Mar2020)|0%(Jun2019)|1.49Cr|31.80L|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
IpcaLaboratoriesLtd.|Pharmaceuticals|8.7|423.8|0.48|-0.04%|1.77%(Dec2019)|0.48%(May2020)|2.84L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
GatewayDistriparksLtd.|Logisticssolutionprovider|0.46|404.4|0.46|-0.07%|0.67%(Jan2020)|0.41%(Oct2019)|53.32L|2.30L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
SBICardsandPaymentServicesLtd.|Nbfc|5.6|329.9|0.37|-0.27%|0.8%(Mar2020)|0%(Jun2019)|6.12L|-3.45L|Other|10.09|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
